model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume,sales_classification,year_scaled,year_outlier,mileage_km_bin,mileage_km_scaled,mileage_km_outlier,price_usd_bin,price_usd_scaled,price_usd_outlier,sales_volume_bin,sales_volume_scaled,sales_volume_outlier
x3,2018,middle east,white,petrol,manual,3.1,33370.0,52717.0,8046.0,high,0.2282498632772351,False,"(2.999, 50121.5]",-1.1556844,False,"(52501.5, 75014.0]",-0.86005145,False,"(7541.0, 9999.0]",1.0412295,False
i8,2010,middle east,grey,petrol,automatic,4.0,98514.0,37949.0,2278.0,low,-1.621446692296914,False,"(50121.5, 100436.0]",-0.03144787,False,"(29999.999, 52501.5]",-1.4288428,False,"(99.999, 2591.0]",-0.97771066,False
m3,2020,africa,black,petrol,manual,3.6,82668.0,86748.0,3929.0,low,0.6906740021707723,False,"(50121.5, 100436.0]",-0.3049136,False,"(75014.0, 97573.0]",0.45065674,False,"(2591.0, 5097.0]",-0.39982054,False
x5,2020,middle east,white,hybrid,automatic,4.9,132299.0,35401.0,7110.0,high,0.6906740021707723,False,"(100436.0, 150610.0]",0.55160403,False,"(29999.999, 52501.5]",-1.5269793,False,"(5097.0, 7541.0]",0.7136067,False
i3,2024,middle east,red,petrol,automatic,3.5,135958.0,69578.0,173.0,low,1.615522279957847,False,"(100436.0, 150610.0]",0.61474997,False,"(52501.5, 75014.0]",-0.21064794,False,"(99.999, 2591.0]",-1.7145118,False
m5,2019,south america,white,diesel,manual,3.1,192690.0,37177.0,5946.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",1.5938146,False,"(29999.999, 52501.5]",-1.4585764,False,"(5097.0, 7541.0]",0.30617845,False
x5,2021,africa,red,diesel,manual,3.4,99697.0,60278.0,2913.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.011031994,False,"(52501.5, 75014.0]",-0.5688386,False,"(2591.0, 5097.0]",-0.75544524,False
x5,2021,middle east,black,petrol,automatic,4.3,44279.0,96256.0,7627.0,high,0.921886071617541,False,"(2.999, 50121.5]",-0.96742,False,"(75014.0, 97573.0]",0.81685853,False,"(7541.0, 9999.0]",0.8945693,False
x5,2024,south america,black,hybrid,manual,3.6,111661.0,82675.0,2155.0,low,1.615522279957847,False,"(100436.0, 150610.0]",0.1954393,False,"(75014.0, 97573.0]",0.29378465,False,"(99.999, 2591.0]",-1.0207636,False
i8,2023,europe,blue,diesel,automatic,3.8,78573.0,118317.0,7168.0,high,1.3843102105110783,False,"(50121.5, 100436.0]",-0.37558395,False,"(97573.0, 119998.0]",1.6665407,False,"(5097.0, 7541.0]",0.7339081,False
i3,2023,north america,silver,petrol,automatic,4.9,94453.0,79039.0,8283.0,high,1.3843102105110783,False,"(50121.5, 100436.0]",-0.101531446,False,"(75014.0, 97573.0]",0.15374365,False,"(7541.0, 9999.0]",1.1241852,False
5 series,2024,asia,blue,electric,manual,3.7,157789.0,86855.0,648.0,low,1.615522279957847,False,"(150610.0, 199996.0]",0.9915031,False,"(75014.0, 97573.0]",0.45477787,False,"(99.999, 2591.0]",-1.5482502,False
x6,2023,africa,white,hybrid,automatic,2.8,84367.0,112542.0,7933.0,high,1.3843102105110783,False,"(50121.5, 100436.0]",-0.27559274,False,"(97573.0, 119998.0]",1.4441159,False,"(7541.0, 9999.0]",1.0016767,False
i3,2012,asia,white,hybrid,manual,3.9,193905.0,93508.0,8438.0,high,-1.1590225534033767,False,"(150610.0, 199996.0]",1.6147827,False,"(75014.0, 97573.0]",0.711019,False,"(7541.0, 9999.0]",1.178439,False
x3,2021,asia,silver,hybrid,automatic,3.8,57759.0,119692.0,6782.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.73478603,False,"(97573.0, 119998.0]",1.719499,False,"(5097.0, 7541.0]",0.59879875,False
m3,2016,africa,black,hybrid,manual,1.5,113832.0,49278.0,3153.0,low,-0.2341742756163022,False,"(100436.0, 150610.0]",0.23290579,False,"(29999.999, 52501.5]",-0.99250495,False,"(2591.0, 5097.0]",-0.6714394,False
i8,2013,middle east,white,petrol,manual,3.1,42427.0,44269.0,5887.0,low,-0.9278104839566081,False,"(2.999, 50121.5]",-0.9993813,False,"(29999.999, 52501.5]",-1.1854272,False,"(5097.0, 7541.0]",0.28552702,False
i3,2018,south america,red,petrol,manual,4.1,1428.0,46127.0,608.0,low,0.2282498632772351,False,"(2.999, 50121.5]",-1.7069303,False,"(29999.999, 52501.5]",-1.1138661,False,"(99.999, 2591.0]",-1.5622512,False
i8,2012,middle east,red,diesel,automatic,3.2,110845.0,100747.0,3291.0,low,-1.1590225534033767,False,"(100436.0, 150610.0]",0.181357,False,"(97573.0, 119998.0]",0.98982996,False,"(2591.0, 5097.0]",-0.62313604,False
m5,2014,south america,red,electric,automatic,4.2,125379.0,96739.0,3754.0,low,-0.6965984145098395,False,"(100436.0, 150610.0]",0.4321806,False,"(75014.0, 97573.0]",0.8354614,False,"(2591.0, 5097.0]",-0.4610748,False
x5,2012,middle east,black,petrol,manual,3.1,107014.0,57537.0,4125.0,low,-1.1590225534033767,False,"(100436.0, 150610.0]",0.1152427,False,"(52501.5, 75014.0]",-0.67440856,False,"(2591.0, 5097.0]",-0.33121577,False
x6,2016,south america,silver,hybrid,automatic,4.9,180186.0,46263.0,9762.0,high,-0.2341742756163022,False,"(150610.0, 199996.0]",1.3780242,False,"(29999.999, 52501.5]",-1.108628,False,"(7541.0, 9999.0]",1.6418711,False
m3,2014,europe,red,electric,manual,2.5,74474.0,65464.0,9390.0,high,-0.6965984145098395,False,"(50121.5, 100436.0]",-0.4463233,False,"(52501.5, 75014.0]",-0.36909917,False,"(7541.0, 9999.0]",1.5116621,False
3 series,2018,africa,black,electric,manual,1.8,117061.0,54762.0,3293.0,low,0.2282498632772351,False,"(100436.0, 150610.0]",0.28863096,False,"(52501.5, 75014.0]",-0.781288,False,"(2591.0, 5097.0]",-0.622436,False
m3,2016,south america,grey,electric,automatic,3.0,102675.0,93915.0,9470.0,high,-0.2341742756163022,False,"(100436.0, 150610.0]",0.04036148,False,"(75014.0, 97573.0]",0.72669464,False,"(7541.0, 9999.0]",1.539664,False
x6,2011,middle east,blue,diesel,automatic,3.4,27706.0,117237.0,5425.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.253432,False,"(97573.0, 119998.0]",1.6249443,False,"(5097.0, 7541.0]",0.1238158,False
i8,2013,south america,black,diesel,manual,2.7,150761.0,34193.0,425.0,low,-0.9278104839566081,False,"(150610.0, 199996.0]",0.8702159,False,"(29999.999, 52501.5]",-1.5735056,False,"(99.999, 2591.0]",-1.6263057,False
x6,2018,asia,red,electric,manual,2.3,10027.0,89970.0,4935.0,low,0.2282498632772351,False,"(2.999, 50121.5]",-1.5585312,False,"(75014.0, 97573.0]",0.57475245,False,"(2591.0, 5097.0]",-0.047696106,False
3 series,2021,north america,black,hybrid,automatic,3.9,87632.0,65089.0,660.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.21924631,False,"(52501.5, 75014.0]",-0.38354233,False,"(99.999, 2591.0]",-1.54405,False
3 series,2023,europe,black,electric,manual,2.8,128295.0,86402.0,4266.0,low,1.3843102105110783,False,"(100436.0, 150610.0]",0.48250413,False,"(75014.0, 97573.0]",0.4373305,False,"(2591.0, 5097.0]",-0.28186235,False
m3,2011,asia,red,diesel,automatic,3.7,40915.0,44322.0,2191.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.0254749,False,"(29999.999, 52501.5]",-1.183386,False,"(99.999, 2591.0]",-1.0081627,False
x3,2019,asia,silver,electric,automatic,4.2,88705.0,111352.0,1932.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.20072879,False,"(97573.0, 119998.0]",1.3982829,False,"(99.999, 2591.0]",-1.098819,False
7 series,2018,middle east,blue,petrol,manual,4.2,94859.0,50620.0,6962.0,low,0.2282498632772351,False,"(50121.5, 100436.0]",-0.094524816,False,"(29999.999, 52501.5]",-0.94081765,False,"(5097.0, 7541.0]",0.6618031,False
3 series,2019,south america,silver,hybrid,manual,2.8,193021.0,44950.0,1703.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",1.5995269,False,"(29999.999, 52501.5]",-1.1591984,False,"(99.999, 2591.0]",-1.1789746,False
x6,2014,europe,grey,diesel,manual,3.5,178427.0,101523.0,8589.0,high,-0.6965984145098395,False,"(150610.0, 199996.0]",1.3476678,False,"(97573.0, 119998.0]",1.0197177,False,"(7541.0, 9999.0]",1.2312926,False
5 series,2011,middle east,red,hybrid,automatic,3.1,139212.0,31815.0,2011.0,low,-1.3902346228501454,False,"(100436.0, 150610.0]",0.6709066,False,"(29999.999, 52501.5]",-1.6650946,False,"(99.999, 2591.0]",-1.0711671,False
7 series,2013,asia,red,hybrid,manual,4.5,144832.0,118363.0,1564.0,low,-0.9278104839566081,False,"(100436.0, 150610.0]",0.7678949,False,"(97573.0, 119998.0]",1.6683124,False,"(99.999, 2591.0]",-1.227628,False
i3,2021,south america,red,electric,manual,4.6,107985.0,43355.0,945.0,low,0.921886071617541,False,"(100436.0, 150610.0]",0.13199994,False,"(29999.999, 52501.5]",-1.22063,False,"(99.999, 2591.0]",-1.444293,False
x1,2024,europe,red,petrol,automatic,2.7,24141.0,84346.0,4289.0,low,1.615522279957847,False,"(2.999, 50121.5]",-1.3149558,False,"(75014.0, 97573.0]",0.35814342,False,"(2591.0, 5097.0]",-0.2738118,False
i3,2021,north america,silver,electric,automatic,1.8,112862.0,66155.0,3748.0,low,0.921886071617541,False,"(100436.0, 150610.0]",0.21616581,False,"(52501.5, 75014.0]",-0.34248522,False,"(2591.0, 5097.0]",-0.46317494,False
x1,2016,europe,black,petrol,manual,2.1,37975.0,101753.0,3476.0,low,-0.2341742756163022,False,"(2.999, 50121.5]",-1.0762126,False,"(97573.0, 119998.0]",1.0285761,False,"(2591.0, 5097.0]",-0.55838156,False
x3,2021,north america,grey,electric,manual,2.8,75480.0,68274.0,5759.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.42896205,False,"(52501.5, 75014.0]",-0.26087168,False,"(5097.0, 7541.0]",0.24072391,False
x3,2022,middle east,grey,petrol,manual,3.5,52217.0,78144.0,9420.0,high,1.1530981410643097,False,"(50121.5, 100436.0]",-0.83042824,False,"(75014.0, 97573.0]",0.11927261,False,"(7541.0, 9999.0]",1.5221628,False
m3,2017,north america,grey,hybrid,automatic,3.8,24291.0,87604.0,9797.0,high,-0.002962206169533556,False,"(2.999, 50121.5]",-1.3123672,False,"(75014.0, 97573.0]",0.48362568,False,"(7541.0, 9999.0]",1.654122,False
m5,2024,north america,black,diesel,manual,2.7,143885.0,90388.0,7944.0,high,1.615522279957847,False,"(100436.0, 150610.0]",0.75155187,False,"(75014.0, 97573.0]",0.5908518,False,"(7541.0, 9999.0]",1.005527,False
7 series,2012,south america,silver,petrol,manual,3.8,93073.0,102551.0,6709.0,low,-1.1590225534033767,False,"(50121.5, 100436.0]",-0.1253471,False,"(97573.0, 119998.0]",1.0593113,False,"(5097.0, 7541.0]",0.57324696,False
7 series,2023,north america,grey,diesel,automatic,4.8,64153.0,117121.0,4823.0,low,1.3843102105110783,False,"(50121.5, 100436.0]",-0.6244402,False,"(97573.0, 119998.0]",1.6204766,False,"(2591.0, 5097.0]",-0.086898826,False
x6,2010,europe,red,hybrid,manual,3.8,128477.0,68106.0,1048.0,low,-1.621446692296914,False,"(100436.0, 150610.0]",0.48564503,False,"(52501.5, 75014.0]",-0.2673422,False,"(99.999, 2591.0]",-1.4082406,False
i8,2013,middle east,grey,petrol,manual,2.1,119491.0,78729.0,9545.0,high,-0.9278104839566081,False,"(100436.0, 150610.0]",0.3305672,False,"(75014.0, 97573.0]",0.14180396,False,"(7541.0, 9999.0]",1.5659158,False
m5,2011,north america,grey,hybrid,automatic,3.5,94375.0,71912.0,2167.0,low,-1.3902346228501454,False,"(50121.5, 100436.0]",-0.10287755,False,"(52501.5, 75014.0]",-0.12075364,False,"(99.999, 2591.0]",-1.0165633,False
m5,2017,south america,white,petrol,manual,3.4,190609.0,94286.0,3140.0,low,-0.002962206169533556,False,"(150610.0, 199996.0]",1.5579013,False,"(75014.0, 97573.0]",0.7409838,False,"(2591.0, 5097.0]",-0.6759897,False
x6,2013,south america,white,hybrid,manual,4.5,94915.0,50923.0,7821.0,high,-0.9278104839566081,False,"(50121.5, 100436.0]",-0.093558386,False,"(29999.999, 52501.5]",-0.9291476,False,"(7541.0, 9999.0]",0.962474,False
i8,2011,middle east,grey,diesel,automatic,2.7,144698.0,37887.0,2085.0,low,-1.3902346228501454,False,"(100436.0, 150610.0]",0.7655824,False,"(29999.999, 52501.5]",-1.4312308,False,"(99.999, 2591.0]",-1.0452653,False
x3,2023,europe,red,hybrid,manual,3.0,12922.0,101473.0,8030.0,high,1.3843102105110783,False,"(2.999, 50121.5]",-1.5085702,False,"(97573.0, 119998.0]",1.017792,False,"(7541.0, 9999.0]",1.035629,False
i8,2015,middle east,black,electric,manual,3.6,46176.0,96965.0,5409.0,low,-0.46538634506307086,False,"(2.999, 50121.5]",-0.93468213,False,"(75014.0, 97573.0]",0.8441658,False,"(5097.0, 7541.0]",0.118215404,False
x5,2015,middle east,black,hybrid,automatic,3.3,121271.0,76799.0,4367.0,low,-0.46538634506307086,False,"(100436.0, 150610.0]",0.36128592,False,"(75014.0, 97573.0]",0.067469776,False,"(2591.0, 5097.0]",-0.24650991,False
x3,2019,north america,silver,hybrid,automatic,4.0,189804.0,119927.0,1472.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",1.5440089,False,"(97573.0, 119998.0]",1.7285501,False,"(99.999, 2591.0]",-1.2598302,False
i3,2013,africa,black,diesel,manual,1.6,192509.0,72385.0,455.0,low,-0.9278104839566081,False,"(150610.0, 199996.0]",1.590691,False,"(52501.5, 75014.0]",-0.102535985,False,"(99.999, 2591.0]",-1.6158049,False
i3,2015,asia,silver,electric,manual,3.5,68161.0,63696.0,7218.0,high,-0.46538634506307086,False,"(50121.5, 100436.0]",-0.55527127,False,"(52501.5, 75014.0]",-0.4371939,False,"(5097.0, 7541.0]",0.75140935,False
x6,2022,asia,white,electric,manual,1.9,182027.0,35951.0,3389.0,low,1.1530981410643097,False,"(150610.0, 199996.0]",1.4097956,False,"(29999.999, 52501.5]",-1.5057961,False,"(2591.0, 5097.0]",-0.5888337,False
x5,2024,asia,blue,hybrid,automatic,2.6,120597.0,95900.0,8581.0,high,1.615522279957847,False,"(100436.0, 150610.0]",0.34965423,False,"(75014.0, 97573.0]",0.8031472,False,"(7541.0, 9999.0]",1.2284925,False
i8,2011,europe,red,hybrid,automatic,3.8,184765.0,44846.0,1431.0,low,-1.3902346228501454,False,"(150610.0, 199996.0]",1.4570472,False,"(29999.999, 52501.5]",-1.163204,False,"(99.999, 2591.0]",-1.2741812,False
x5,2019,africa,blue,electric,manual,2.1,161177.0,95908.0,2775.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",1.0499723,False,"(75014.0, 97573.0]",0.8034553,False,"(2591.0, 5097.0]",-0.80374855,False
x1,2021,asia,silver,diesel,manual,2.6,84621.0,119897.0,4601.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.2712093,False,"(97573.0, 119998.0]",1.7273946,False,"(2591.0, 5097.0]",-0.16460422,False
3 series,2011,middle east,red,hybrid,automatic,4.0,22280.0,55612.0,6698.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.3470725,False,"(52501.5, 75014.0]",-0.7485502,False,"(5097.0, 7541.0]",0.56939673,False
m5,2019,europe,black,diesel,manual,3.8,127689.0,72188.0,6056.0,low,0.4594619327240037,False,"(100436.0, 150610.0]",0.47204593,False,"(52501.5, 75014.0]",-0.11012347,False,"(5097.0, 7541.0]",0.3446811,False
i3,2023,africa,grey,hybrid,manual,1.8,73990.0,89587.0,6301.0,low,1.3843102105110783,False,"(50121.5, 100436.0]",-0.45467606,False,"(75014.0, 97573.0]",0.5600012,False,"(5097.0, 7541.0]",0.4304371,False
m5,2013,asia,red,diesel,automatic,3.5,17838.0,46231.0,8734.0,high,-0.9278104839566081,False,"(2.999, 50121.5]",-1.4237312,False,"(29999.999, 52501.5]",-1.1098605,False,"(7541.0, 9999.0]",1.2820462,False
x1,2023,middle east,silver,diesel,manual,2.0,172729.0,85801.0,8644.0,high,1.3843102105110783,False,"(150610.0, 199996.0]",1.2493334,False,"(75014.0, 97573.0]",0.41418293,False,"(7541.0, 9999.0]",1.250544,False
7 series,2024,north america,grey,electric,manual,2.4,80659.0,92213.0,5456.0,low,1.615522279957847,False,"(50121.5, 100436.0]",-0.33958435,False,"(75014.0, 97573.0]",0.66114193,False,"(5097.0, 7541.0]",0.13466655,False
7 series,2024,africa,blue,diesel,automatic,3.1,132686.0,42013.0,8472.0,high,1.615522279957847,False,"(100436.0, 150610.0]",0.55828273,False,"(29999.999, 52501.5]",-1.2723174,False,"(7541.0, 9999.0]",1.1903398,False
i8,2017,asia,grey,petrol,automatic,1.9,146940.0,50942.0,5940.0,low,-0.002962206169533556,False,"(100436.0, 150610.0]",0.8042742,False,"(29999.999, 52501.5]",-0.9284158,False,"(5097.0, 7541.0]",0.3040783,False
7 series,2023,europe,red,electric,manual,5.0,50602.0,83812.0,2241.0,low,1.3843102105110783,False,"(50121.5, 100436.0]",-0.8582995,False,"(75014.0, 97573.0]",0.33757633,False,"(99.999, 2591.0]",-0.99066156,False
7 series,2016,africa,grey,petrol,automatic,2.1,49521.0,93993.0,8663.0,high,-0.2341742756163022,False,"(2.999, 50121.5]",-0.87695503,False,"(75014.0, 97573.0]",0.72969884,False,"(7541.0, 9999.0]",1.2571944,False
x3,2021,africa,blue,electric,automatic,4.2,169825.0,30158.0,8293.0,high,0.921886071617541,False,"(150610.0, 199996.0]",1.199217,False,"(29999.999, 52501.5]",-1.7289141,False,"(7541.0, 9999.0]",1.1276854,False
i8,2018,europe,black,petrol,automatic,4.4,193467.0,102279.0,8445.0,high,0.2282498632772351,False,"(150610.0, 199996.0]",1.6072239,False,"(97573.0, 119998.0]",1.0488352,False,"(7541.0, 9999.0]",1.1808891,False
i3,2023,north america,silver,electric,manual,5.0,190643.0,36081.0,190.0,low,1.3843102105110783,False,"(150610.0, 199996.0]",1.5584881,False,"(29999.999, 52501.5]",-1.500789,False,"(99.999, 2591.0]",-1.7085614,False
7 series,2017,middle east,grey,petrol,automatic,3.0,112754.0,93431.0,7462.0,high,-0.002962206169533556,False,"(100436.0, 150610.0]",0.21430197,False,"(75014.0, 97573.0]",0.70805335,False,"(5097.0, 7541.0]",0.8368153,False
m3,2014,middle east,blue,diesel,manual,4.6,42711.0,40950.0,8339.0,high,-0.6965984145098395,False,"(2.999, 50121.5]",-0.9944801,False,"(29999.999, 52501.5]",-1.3132589,False,"(7541.0, 9999.0]",1.1437865,False
i8,2022,south america,grey,diesel,automatic,4.9,103105.0,66212.0,4055.0,low,1.1530981410643097,False,"(100436.0, 150610.0]",0.047782294,False,"(52501.5, 75014.0]",-0.34028986,False,"(2591.0, 5097.0]",-0.35571748,False
